ticket_id,year,date,company_id,management_id,status_id,phone1_id,phone2_id,phone3_id,question_id,solve_id
385,2026,NULL,4287,NULL,1675,NULL,NULL,6822,156,5933
386,2026,NULL,7661,NULL,828,NULL,NULL,7948,287,7814
387,2026,NULL,6078,NULL,1005,NULL,NULL,6690,226,18437
388,2026,NULL,4417,NULL,801,NULL,NULL,2754,31,6965
389,2026,NULL,2325,NULL,839,NULL,2242,NULL,156,15170
390,2026,NULL,2244,NULL,866,NULL,5489,NULL,156,20881
391,2026,NULL,6374,NULL,839,NULL,4860,NULL,288,11979
392,2026,NULL,3560,NULL,1509,NULL,NULL,8196,32,17129
393,2026,NULL,3590,729,801,NULL,4949,8120,289,8359
394,2026,NULL,4417,NULL,801,NULL,NULL,2754,156,13877
395,2026,NULL,2189,NULL,806,NULL,1316,NULL,290,20881
396,2026,NULL,1469,NULL,828,NULL,NULL,7201,275,20881
397,2026,NULL,3113,NULL,811,NULL,NULL,5931,291,5477
398,2026,NULL,1771,336,796,NULL,3953,NULL,292,20881
399,2026,NULL,1702,715,811,NULL,NULL,5952,293,20881
400,2026,NULL,2585,NULL,948,NULL,NULL,2449,294,14009
401,2026,NULL,3159,NULL,828,NULL,NULL,6489,295,20881
402,2026,NULL,2482,NULL,847,NULL,1724,NULL,156,8647
403,2026,NULL,5918,681,866,NULL,4185,NULL,258,6965
404,2026,NULL,5924,597,672,NULL,126,NULL,296,20881
